lead_time,cloud_error_pp,ghi_error_wm2
24,0.0,-9.7
48,0.0,-8.7
72,0.0,-8.7
24,0.0,-33.0
48,0.0,-26.0
72,0.0,-31.0
24,0.0,-75.5
48,0.0,-73.5
72,0.0,-71.5
24,0.0,-88.2
48,0.0,-89.2
72,0.0,-83.2
24,0.0,-47.7
48,0.0,-42.7
72,0.0,-56.7
24,0.0,-68.5
48,0.0,-55.5
72,0.0,-68.5
24,0.0,-139.3
48,0.0,-139.3
72,0.0,-132.3
24,0.0,-91.3
48,0.0,-93.3
72,0.0,-92.3
24,0.0,-70.0
48,0.0,-76.0
72,0.0,-72.0
24,0.0,-20.0
48,0.0,-23.0
72,0.0,-23.0
24,0.0,-31.299999999999997
48,0.0,-36.3
72,0.0,-34.3
24,0.0,-27.200000000000003
48,0.0,-45.2
72,0.0,-45.2
24,0.0,-16.299999999999997
48,0.0,-43.3
72,0.0,-48.3
24,0.0,89.2
48,0.0,-80.8
72,0.0,-73.8
24,0.0,-30.700000000000003
48,0.0,-19.700000000000003
72,0.0,-86.7
24,0.0,-73.7
48,0.0,-85.7
72,0.0,-78.7
24,0.0,-85.0
48,0.0,-100.0
72,0.0,-62.0
24,0.0,-31.299999999999997
48,0.0,-26.299999999999997
72,0.0,-7.299999999999997
24,0.0,-70.8
48,0.0,-69.8
72,0.0,-65.8
24,0.0,-12.5
48,0.0,-9.5
72,0.0,-9.5
24,0.0,0.0
48,0.0,0.0
72,0.0,0.0
24,0.0,-22.0
48,0.0,-20.0
72,0.0,-21.0
24,0.0,-42.0
48,0.0,-46.0
72,0.0,-44.0
24,0.0,-41.5
48,0.0,-46.5
72,0.0,-38.5
24,0.0,-53.3
48,0.0,-78.3
72,0.0,-65.3
24,0.0,64.0
48,0.0,-45.0
72,0.0,-41.0
24,0.0,3.0
48,0.0,-94.0
72,0.0,-87.0
24,0.0,66.7
48,0.0,-18.299999999999997
72,0.0,18.700000000000003
24,0.0,-18.80000000000001
48,0.0,-84.80000000000001
72,0.0,-92.80000000000001
24,0.0,-46.8
48,0.0,-45.8
72,0.0,-44.8
24,0.0,-53.0
48,0.0,-50.0
72,0.0,-52.0
24,0.0,0.0
48,0.0,0.0
72,0.0,0.0
24,0.0,-8.2
48,0.0,-8.2
72,0.0,-9.2
24,0.0,-42.5
48,0.0,-24.5
