month,gfs_missing_pct,himawari_missing_pct,era5_missing_pct,gfs_rows,satellite_hours,satellite_missing_hours
2024-02,0.0,0.0,0.0,960,320,0
2024-03,0.0,0.0,0.0,1128,376,0
2024-04,0.0,0.0,0.0,1170,390,0
2024-05,0.0,0.0,0.0,1233,411,0
2024-06,0.0,0.0,0.0,1260,420,0
2024-07,0.0,0.0,0.0,1302,434,0
2024-08,0.0,0.0,0.0,1215,405,0
2024-09,0.0,0.0,0.0,1140,380,0
2024-10,0.0,0.0,0.0,1023,341,0
2024-11,0.0,0.0,0.0,984,328,0
2024-12,0.0,0.31645569620253167,0.0,948,316,1
2025-01,0.0,0.0,0.0,930,310,0
2025-02,0.0,0.0,0.0,930,310,0
2025-03,0.0,0.0,0.0,1128,376,0
2025-04,0.0,0.0,0.0,1170,390,0
2025-05,0.0,0.0,0.0,1233,411,0
2025-06,0.0,0.0,0.0,1260,420,0
2025-07,0.0,0.0,0.0,1302,434,0
2025-08,0.0,0.0,0.0,1215,405,0
2025-09,0.0,0.0,0.0,1143,381,0
2025-10,0.0,0.0,0.0,1023,341,0
2025-11,0.0,0.0,0.0,984,328,0
2025-12,0.0,0.0,0.0,948,316,0
2026-01,0.0,0.0,0.0,930,310,0
2026-02,0.0,1.6129032258064515,0.0,930,310,5
2026-03,0.0,1.3297872340425532,0.0,1128,376,5
2026-04,2.2222222222222254,0.5128205128205128,0.0,1170,390,2
2026-05,0.0,0.0,0.0,1233,411,0
2026-06,0.0,5.476190476190476,0.0,1260,420,23
2026-07,0.0,14.746543778801843,0.0,1302,434,64
2026-08,0.0,7.160493827160494,0.0,1215,405,29
