lead_time,cloud_stratum,model_id,n,coverage_80
24,30–<70%,lgbm,246,0.7845528455284553
24,30–<70%,ridge_mos,246,0.6747967479674797
24,30–<70%,xgboost,246,0.8495934959349594
24,<30%,lgbm,1478,0.6921515561569689
24,<30%,ridge_mos,1478,0.8538565629228687
24,<30%,xgboost,1478,0.8220568335588633
24,≥70%,lgbm,2570,0.7455252918287938
24,≥70%,ridge_mos,2570,0.5933852140077821
24,≥70%,xgboost,2570,0.8015564202334631
48,30–<70%,lgbm,262,0.7290076335877863
48,30–<70%,ridge_mos,262,0.5916030534351145
48,30–<70%,xgboost,262,0.8129770992366412
48,<30%,lgbm,1371,0.6819839533187454
48,<30%,ridge_mos,1371,0.8358862144420132
48,<30%,xgboost,1371,0.7986870897155361
48,≥70%,lgbm,2661,0.7237880496054115
48,≥70%,ridge_mos,2661,0.5764750093949643
48,≥70%,xgboost,2661,0.7775272453964674
72,30–<70%,lgbm,267,0.7153558052434457
72,30–<70%,ridge_mos,267,0.5767790262172284
72,30–<70%,xgboost,267,0.7752808988764045
72,<30%,lgbm,1365,0.6527472527472528
72,<30%,ridge_mos,1365,0.8131868131868132
72,<30%,xgboost,1365,0.7831501831501831
72,missing forecast cloud,lgbm,13,0.6153846153846154
72,missing forecast cloud,ridge_mos,13,0.5384615384615384
72,missing forecast cloud,xgboost,13,0.6153846153846154
72,≥70%,lgbm,2649,0.7021517553793885
72,≥70%,ridge_mos,2649,0.5394488486221215
72,≥70%,xgboost,2649,0.7629294073235183
