group,outer_fold,delta_vs_full
clear_sky_kt,outer_1,0.007092704006204542
clear_sky_kt,outer_2,-0.2455821953649379
clear_sky_kt,outer_3,0.04651034886764253
clear_sky_kt,outer_4,0.24072641035597067
clear_sky_kt,outer_5,0.28906286190592684
cloud,outer_1,0.44246487961467434
cloud,outer_2,0.6816671368285098
cloud,outer_3,0.41155939181946266
cloud,outer_4,0.3911666822572908
cloud,outer_5,0.4637209756386322
meteorology,outer_1,0.810542442321438
meteorology,outer_2,2.7152089816793983
meteorology,outer_3,1.9000269326464234
meteorology,outer_4,1.2358943521984287
meteorology,outer_5,0.3056657348065978
radiation,outer_1,2.3306481895632096
radiation,outer_2,-0.38504217352577425
radiation,outer_3,0.41644508718493195
radiation,outer_4,1.324344760738071
radiation,outer_5,0.3212711974444377
solar_geometry,outer_1,1.269011000420485
solar_geometry,outer_2,0.8962498607805204
solar_geometry,outer_3,0.5045841813192992
solar_geometry,outer_4,0.11198584569578074
solar_geometry,outer_5,0.20209938527811033
temporal_dynamics,outer_1,-3.0146138355627925
temporal_dynamics,outer_2,-0.553109320635747
temporal_dynamics,outer_3,-0.5399832036567069
temporal_dynamics,outer_4,0.037905695574889244
temporal_dynamics,outer_5,-0.022332363895176382
