group,outer_fold,delta_vs_full
clear_sky_kt,outer_1,3.1286451995951983
clear_sky_kt,outer_2,3.788413633127814
clear_sky_kt,outer_3,4.16097426542055
clear_sky_kt,outer_4,2.9998930741592056
clear_sky_kt,outer_5,5.42224791590455
cloud,outer_1,0.2726389764484172
cloud,outer_2,0.39768006433321823
cloud,outer_3,0.8466288884340043
cloud,outer_4,0.6364936407180033
cloud,outer_5,0.6476206628981065
meteorology,outer_1,5.1438379259611695
meteorology,outer_2,3.820953829192904
meteorology,outer_3,4.306926935109659
meteorology,outer_4,3.159317947172242
meteorology,outer_5,3.6827714112566117
radiation,outer_1,66.74145605983011
radiation,outer_2,43.95793776112818
radiation,outer_3,44.27740687060558
radiation,outer_4,61.857747689926555
radiation,outer_5,78.4721048295815
solar_geometry,outer_1,1.138534547392508
solar_geometry,outer_2,3.921880854111592
solar_geometry,outer_3,2.0398655833895885
solar_geometry,outer_4,0.4179978563723316
solar_geometry,outer_5,1.4127099892729378
temporal_dynamics,outer_1,2.8205931927606454
temporal_dynamics,outer_2,2.3628682895995508
temporal_dynamics,outer_3,1.5307251842822973
temporal_dynamics,outer_4,0.8470128702045098
temporal_dynamics,outer_5,2.553197496767959
