feature,mean_abs_shap_w_m2
ghi_fcst,157.5173010494714
dhi_fcst,26.913717831108077
gti_fcst,25.220522771007523
rh_fcst,24.28905992253173
terrestrial_fcst,21.402034769589037
solar_elevation,10.659505038239162
temp_fcst,10.633619125118043
dni_fcst,9.593637416612639
diffuse_fraction,9.370294062711709
ghi_fcst_lag1,7.808955101632544
cloud_cover_roll3,7.559343818855427
ghi_fcst_lag2,6.023037933098465
wind_dir_cos,5.7347259420970085
ghi_clear_sky,5.541387464817734
doy_cos,5.15016931618245
dewpoint_fcst,4.787185757739182
wind_speed_fcst,4.260897641760311
ghi_fcst_minus_clear,3.5647898017647885
precip_fcst,3.2422700733376657
kt_fcst,2.6343498767731477
solar_azimuth_sin,2.4058526575746315
doy_sin,2.0446135120842253
cloud_cover_fcst,1.9646714102579421
pressure_fcst,1.8546319936770663
month_cos,1.6615640284166038
dni_clear_sky,1.4782894814590877
solar_azimuth_cos,1.1925875320781507
kni,1.136187876045823
hour_local_sin,0.8622177544541185
wind_dir_sin,0.7675144629369623
cloud_cover_change,0.6336102955175413
lead_time,0.36267640817660163
hour_local_cos,0.1939552331882621
month_sin,0.18205488928624916
cloud_cover_roll1,0.15994177899702158
sunshine_fcst,0.0685835491338341
source_grid_latitude,0.0
source_grid_longitude,0.0
source_grid_elevation,0.0
