lead,month,daylight,site,n,p_cloud_eq_0,p_cloud_eq_100,p_cloud_between,p_cloud_outside_0_100,unique_values
D+1,2024-02,day,changzhou_1,319.0,0.15047021943573669,0.664576802507837,0.18495297805642633,0.0,35.0
D+1,2024-02,day,huai_an_1,319.0,0.14420062695924765,0.6426332288401254,0.21316614420062696,0.0,34.0
D+1,2024-02,day,huai_an_2,318.0,0.14465408805031446,0.6163522012578616,0.2389937106918239,0.0,35.0
D+1,2024-02,day,huai_an_3,316.0,0.16139240506329114,0.680379746835443,0.15822784810126583,0.0,23.0
D+1,2024-02,day,lianyungang_1,312.0,0.16666666666666666,0.5769230769230769,0.2564102564102564,0.0,35.0
D+1,2024-02,day,lianyungang_2,316.0,0.17721518987341772,0.6107594936708861,0.2120253164556962,0.0,29.0
D+1,2024-02,day,nanjing_1,320.0,0.171875,0.65,0.178125,0.0,37.0
D+1,2024-02,day,nanjing_2,319.0,0.15987460815047022,0.6614420062695925,0.1755485893416928,0.003134796238244514,37.0
D+1,2024-02,day,nantong_1,319.0,0.16614420062695925,0.670846394984326,0.16300940438871472,0.0,35.0
D+1,2024-02,day,nantong_2,319.0,0.11912225705329153,0.6927899686520376,0.18495297805642633,0.003134796238244514,30.0
D+1,2024-02,day,suqian_1,314.0,0.15286624203821655,0.6114649681528662,0.2356687898089172,0.0,38.0
D+1,2024-02,day,suzhou_1,319.0,0.14106583072100312,0.6802507836990596,0.1755485893416928,0.003134796238244514,33.0
D+1,2024-02,day,taizhou_1,319.0,0.1536050156739812,0.6489028213166145,0.1974921630094044,0.0,29.0
D+1,2024-02,day,taizhou_2,319.0,0.15673981191222572,0.6896551724137931,0.1536050156739812,0.0,27.0
D+1,2024-02,day,wuxi_1,319.0,0.14106583072100312,0.6739811912225705,0.18181818181818182,0.003134796238244514,31.0
D+1,2024-02,day,xuzhou_1,313.0,0.16613418530351437,0.6261980830670927,0.20766773162939298,0.0,34.0
D+1,2024-02,day,xuzhou_2,313.0,0.14057507987220447,0.597444089456869,0.26198083067092653,0.0,34.0
D+1,2024-02,day,yancheng_1,319.0,0.15047021943573669,0.6238244514106583,0.2225705329153605,0.003134796238244514,29.0
D+1,2024-02,day,yancheng_2,319.0,0.15047021943573669,0.6802507836990596,0.16927899686520376,0.0,31.0
D+1,2024-02,day,yancheng_3,319.0,0.14733542319749215,0.6551724137931034,0.19122257053291536,0.006269592476489028,31.0
D+1,2024-02,night,changzhou_1,377.0,0.13262599469496023,0.6710875331564987,0.1962864721485411,0.0,49.0
D+1,2024-02,night,huai_an_1,377.0,0.13527851458885942,0.649867374005305,0.21485411140583555,0.0,50.0
D+1,2024-02,night,huai_an_2,378.0,0.15079365079365079,0.6534391534391535,0.19576719576719576,0.0,46.0
D+1,2024-02,night,huai_an_3,380.0,0.1394736842105263,0.7,0.16052631578947368,0.0,43.0
D+1,2024-02,night,lianyungang_1,384.0,0.18489583333333334,0.5963541666666666,0.21875,0.0,49.0
D+1,2024-02,night,lianyungang_2,380.0,0.17105263157894737,0.6157894736842106,0.2131578947368421,0.0,36.0
D+1,2024-02,night,nanjing_1,376.0,0.125,0.6329787234042553,0.24202127659574468,0.0,54.0
D+1,2024-02,night,nanjing_2,377.0,0.129973474801061,0.6657824933687002,0.20424403183023873,0.0,48.0
D+1,2024-02,night,nantong_1,377.0,0.11671087533156499,0.6631299734748011,0.22015915119363394,0.0,49.0
D+1,2024-02,night,nantong_2,377.0,0.1220159151193634,0.7161803713527851,0.16180371352785147,0.0,34.0
D+1,2024-02,night,suqian_1,382.0,0.1544502617801047,0.6282722513089005,0.21727748691099477,0.0,52.0
D+1,2024-02,night,suzhou_1,377.0,0.129973474801061,0.7029177718832891,0.16710875331564987,0.0,37.0
D+1,2024-02,night,taizhou_1,377.0,0.1273209549071618,0.6737400530503979,0.1989389920424403,0.0,41.0
D+1,2024-02,night,taizhou_2,377.0,0.1220159151193634,0.6684350132625995,0.20954907161803712,0.0,44.0
D+1,2024-02,night,wuxi_1,377.0,0.13262599469496023,0.7453580901856764,0.1220159151193634,0.0,29.0
D+1,2024-02,night,xuzhou_1,383.0,0.20887728459530025,0.587467362924282,0.20365535248041775,0.0,47.0
D+1,2024-02,night,xuzhou_2,383.0,0.16971279373368145,0.608355091383812,0.22193211488250653,0.0,45.0
D+1,2024-02,night,yancheng_1,377.0,0.14588859416445624,0.6657824933687002,0.1830238726790451,0.005305039787798408,44.0
D+1,2024-02,night,yancheng_2,377.0,0.1246684350132626,0.6631299734748011,0.21220159151193635,0.0,45.0
D+1,2024-02,night,yancheng_3,377.0,0.13262599469496023,0.6710875331564987,0.1962864721485411,0.0,41.0
D+1,2024-03,day,changzhou_1,377.0,0.14854111405835543,0.623342175066313,0.22811671087533156,0.0,41.0
D+1,2024-03,day,huai_an_1,376.0,0.19680851063829788,0.6223404255319149,0.18085106382978725,0.0,35.0
D+1,2024-03,day,huai_an_2,376.0,0.2393617021276596,0.5611702127659575,0.19946808510638298,0.0,32.0
D+1,2024-03,day,huai_an_3,377.0,0.23607427055702918,0.6074270557029178,0.15649867374005305,0.0,31.0
D+1,2024-03,day,lianyungang_1,377.0,0.2864721485411141,0.5702917771883289,0.14323607427055704,0.0,28.0
D+1,2024-03,day,lianyungang_2,375.0,0.296,0.552,0.152,0.0,29.0
D+1,2024-03,day,nanjing_1,376.0,0.1675531914893617,0.6223404255319149,0.21010638297872342,0.0,45.0
D+1,2024-03,day,nanjing_2,378.0,0.15608465608465608,0.6216931216931217,0.2222222222222222,0.0,41.0
D+1,2024-03,day,nantong_1,373.0,0.18498659517426275,0.5764075067024129,0.2386058981233244,0.0,43.0
D+1,2024-03,day,nantong_2,371.0,0.16981132075471697,0.5983827493261455,0.23180592991913745,0.0,36.0
D+1,2024-03,day,suqian_1,376.0,0.23670212765957446,0.5558510638297872,0.2074468085106383,0.0,41.0
D+1,2024-03,day,suzhou_1,373.0,0.1742627345844504,0.6166219839142091,0.20911528150134048,0.0,42.0
D+1,2024-03,day,taizhou_1,376.0,0.18617021276595744,0.6436170212765957,0.1675531914893617,0.0026595744680851063,30.0
D+1,2024-03,day,taizhou_2,373.0,0.1742627345844504,0.6380697050938338,0.18498659517426275,0.002680965147453083,37.0
D+1,2024-03,day,wuxi_1,375.0,0.20533333333333334,0.6213333333333333,0.17333333333333334,0.0,38.0
D+1,2024-03,day,xuzhou_1,372.0,0.26344086021505375,0.5698924731182796,0.1639784946236559,0.002688172043010753,30.0
D+1,2024-03,day,xuzhou_2,373.0,0.2520107238605898,0.5737265415549598,0.1742627345844504,0.0,34.0
D+1,2024-03,day,yancheng_1,375.0,0.24533333333333332,0.5786666666666667,0.176,0.0,34.0
D+1,2024-03,day,yancheng_2,374.0,0.1657754010695187,0.6550802139037433,0.17379679144385027,0.0053475935828877,33.0
D+1,2024-03,day,yancheng_3,375.0,0.18933333333333333,0.6613333333333333,0.14933333333333335,0.0,25.0
D+1,2024-03,night,changzhou_1,367.0,0.23705722070844687,0.5613079019073569,0.19618528610354224,0.005449591280653951,42.0
D+1,2024-03,night,huai_an_1,368.0,0.20923913043478262,0.5733695652173914,0.21467391304347827,0.002717391304347826,33.0
D+1,2024-03,night,huai_an_2,368.0,0.24728260869565216,0.5461956521739131,0.20652173913043478,0.0,28.0
