condition,lead,month,site,n,ghi_raw_zero_rate,ghi_raw_negative_rate,ghi_clean_zero_rate,zero_with_sat_gt100_rate,zero_with_sat_gt300_rate,zero_inconsistent_dhi_dni_rate,zero_count,zero_dhi_positive_fraction,zero_dni_positive_fraction,zero_gti_positive_fraction,zero_terrestrial_positive_fraction,zero_cloud_mean
all,D+1,2024-02,changzhou_1,696.0,0.5172413793103449,0.0,0.5172413793103449,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.03333333333333333,78.00555555555556
all,D+1,2024-02,huai_an_1,696.0,0.5229885057471264,0.0,0.5229885057471264,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.03021978021978022,72.74450549450549
all,D+1,2024-02,huai_an_2,696.0,0.5258620689655172,0.0,0.5258620689655172,0.0,0.0,0.0,366.0,0.0,0.0,0.0,0.03278688524590164,71.99180327868852
all,D+1,2024-02,huai_an_3,696.0,0.5258620689655172,0.0,0.5258620689655172,0.0,0.0,0.0,366.0,0.0,0.0,0.0,0.0273224043715847,76.98087431693989
all,D+1,2024-02,lianyungang_1,696.0,0.5301724137931034,0.0,0.5301724137931034,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.02710027100271003,66.84823848238483
all,D+1,2024-02,lianyungang_2,696.0,0.5244252873563219,0.0,0.5244252873563219,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.024657534246575342,68.03287671232877
all,D+1,2024-02,nanjing_1,696.0,0.5258620689655172,0.0,0.5258620689655172,0.0,0.0,0.0,366.0,0.0,0.0,0.0,0.03278688524590164,74.6639344262295
all,D+1,2024-02,nanjing_2,696.0,0.5244252873563219,0.0,0.5244252873563219,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.038356164383561646,76.59726027397261
all,D+1,2024-02,nantong_1,696.0,0.507183908045977,0.0,0.507183908045977,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.014164305949008499,75.84985835694052
all,D+1,2024-02,nantong_2,696.0,0.5057471264367817,0.0,0.5057471264367817,0.0,0.0,0.0,352.0,0.0,0.0,0.0,0.011363636363636364,77.79261363636364
all,D+1,2024-02,suqian_1,696.0,0.5301724137931034,0.0,0.5301724137931034,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.02710027100271003,71.15176151761517
all,D+1,2024-02,suzhou_1,696.0,0.5086206896551724,0.0,0.5086206896551724,0.0,0.0,0.0,354.0,0.0,0.0,0.0,0.01694915254237288,78.15254237288136
all,D+1,2024-02,taizhou_1,696.0,0.5201149425287356,0.0,0.5201149425287356,0.0,0.0,0.0,362.0,0.0,0.0,0.0,0.03314917127071823,76.12430939226519
all,D+1,2024-02,taizhou_2,696.0,0.5100574712643678,0.0,0.5100574712643678,0.0,0.0,0.0,355.0,0.0,0.0,0.0,0.01971830985915493,75.39718309859155
all,D+1,2024-02,wuxi_1,696.0,0.5129310344827587,0.0,0.5129310344827587,0.0,0.0,0.0,357.0,0.0,0.0,0.0,0.025210084033613446,80.30532212885154
all,D+1,2024-02,xuzhou_1,696.0,0.5344827586206896,0.0,0.5344827586206896,0.0,0.0,0.0,372.0,0.0,0.0,0.0,0.026881720430107527,67.15860215053763
all,D+1,2024-02,xuzhou_2,696.0,0.5316091954022989,0.0,0.5316091954022989,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.021621621621621623,69.84054054054054
all,D+1,2024-02,yancheng_1,696.0,0.5229885057471264,0.0,0.5229885057471264,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.03021978021978022,72.94505494505495
