site,target_time_utc,lead,gfs_service_latitude,gfs_service_longitude,solar_elevation,ghi_raw,dhi_raw,dni_raw,gti_raw,terrestrial_raw,cloud_cover_raw,ghi_obs_sat,ghi_clear_sky
lianyungang_1,2024-07-19 23:00:00+00:00,D+1,34.734787,118.59375,15.180994695762918,0.0,0.0,0.0,0.0,345.5,100.0,36.8,148.07413067507392
lianyungang_1,2024-07-19 23:00:00+00:00,D+3,34.734787,118.59375,15.180994695762918,0.0,0.0,0.0,0.0,345.5,100.0,36.8,148.07413067507392
lianyungang_1,2025-07-16 09:00:00+00:00,D+1,34.734787,118.59375,32.42002630195673,0.0,0.0,0.0,0.0,707.8,100.0,327.3,430.93022537239557
taizhou_2,2026-04-03 22:00:00+00:00,D+1,32.743248,120.58594,-3.4180884382540344,0.0,1.0,0.0,0.9,7.8,100.0,0.0,0.9887233756725696
changzhou_1,2026-04-05 22:00:00+00:00,D+1,31.454605,119.765625,-3.7797057393043403,0.0,1.0,0.0,0.9,6.2,100.0,0.0,0.36330732021871676
huai_an_2,2026-04-08 11:00:00+00:00,D+1,33.91474,119.41406,-1.24944233400189,0.0,3.0,0.0,2.8,23.4,100.0,0.2,2.9694216380762284
suqian_1,2026-04-08 11:00:00+00:00,D+1,33.91474,118.24219,0.23399581196201402,0.0,1.0,0.0,0.9,33.4,100.0,0.2,4.983087521392509
xuzhou_1,2026-04-08 11:00:00+00:00,D+1,34.734787,116.60156,1.514711922077609,0.0,5.0,0.0,4.7,51.8,100.0,0.3,9.85268542769208
changzhou_1,2026-04-09 11:00:00+00:00,D+1,31.454605,119.765625,-1.815824917481147,0.0,1.0,0.0,0.9,19.2,100.0,0.2,2.1460431739375037
nantong_1,2026-04-09 11:00:00+00:00,D+1,31.923203,121.05469,-2.8092650139203266,0.0,1.0,0.0,0.9,11.5,100.0,0.5,1.7603033336442806
nantong_2,2026-04-09 11:00:00+00:00,D+1,31.923203,121.75781,-3.3950490447684603,0.0,1.0,0.0,0.9,7.9,100.0,1.8,0.49254207186036175
changzhou_1,2026-04-11 11:00:00+00:00,D+1,31.454605,119.765625,-1.535360799622723,0.0,1.0,0.0,0.9,21.5,100.0,0.3,2.56947706639231
nanjing_2,2026-04-11 11:00:00+00:00,D+1,31.454605,119.0625,-0.9458574063234045,0.0,2.0,0.0,1.9,27.2,100.0,0.2,3.495808162876811
nantong_1,2026-04-11 11:00:00+00:00,D+1,31.923203,121.05469,-2.5207220923747142,0.0,1.0,0.0,0.9,13.3,100.0,0.0,2.1552826315488693
nantong_2,2026-04-11 11:00:00+00:00,D+1,31.923203,121.75781,-3.105083717239946,0.0,1.0,0.0,0.9,9.5,100.0,0.0,0.6521541535660919
suzhou_1,2026-04-11 11:00:00+00:00,D+1,31.454605,121.05469,-2.61421108311498,0.0,1.0,0.0,0.9,12.8,100.0,0.8,1.5566892663880656
wuxi_1,2026-04-11 11:00:00+00:00,D+1,31.103157,120.234375,-1.9953723676944422,0.0,1.0,0.0,0.9,17.7,100.0,0.0,1.9402932147419811
changzhou_1,2026-04-11 22:00:00+00:00,D+1,31.454605,119.765625,-2.2422214334437016,0.0,2.0,0.0,1.9,15.6,100.0,,1.5369423748183417
nanjing_1,2026-04-11 22:00:00+00:00,D+1,31.923203,118.59375,-3.1226725061788203,0.0,2.0,0.0,1.9,9.4,100.0,0.0,0.6063835842248783
