solar_bin,lead,month,site,n,n_valid,median,p90,p95,p99,max,p_gt_1,p_gt_1_2,p_gt_1_5,p_gt_2,p_gt_3,p_gt_5
<=10,D+1,2024-02,changzhou_1,427.0,20.0,1.5268081321516007,2.3889130201316218,2.3951619920398386,2.450529228276763,2.4643710373359937,0.65,0.55,0.5,0.35,0.0,0.0
<=10,D+1,2024-02,huai_an_1,428.0,19.0,2.0740351163047968,2.4691947127394664,2.4859434198732355,2.5382508910785537,2.551327758879883,0.7368421052631579,0.6842105263157895,0.631578947368421,0.5263157894736842,0.0,0.0
<=10,D+1,2024-02,huai_an_2,430.0,19.0,1.9023016735032707,2.578385057143358,2.634620043270623,2.7412173101344486,2.767866626850405,0.7894736842105263,0.7894736842105263,0.7368421052631579,0.42105263157894735,0.0,0.0
<=10,D+1,2024-02,huai_an_3,425.0,19.0,1.6670002766444791,2.319442789267828,2.3479523060313467,2.3919773870506225,2.4029836573054415,0.7368421052631579,0.7368421052631579,0.5789473684210527,0.3157894736842105,0.0,0.0
<=10,D+1,2024-02,lianyungang_1,431.0,22.0,1.7806753763535366,2.5335419737509604,2.567509011721414,2.6444230614235464,2.664487097470453,0.6363636363636364,0.6363636363636364,0.5454545454545454,0.4090909090909091,0.0,0.0
<=10,D+1,2024-02,lianyungang_2,431.0,18.0,2.089733789821742,2.7696303937711146,2.869260815323516,3.0168108065705748,3.05369830438234,0.7777777777777778,0.7777777777777778,0.7222222222222222,0.5555555555555556,0.05555555555555555,0.0
<=10,D+1,2024-02,nanjing_1,423.0,17.0,1.9383660603119455,2.2801710877076244,2.3096775771189746,2.3632137271481657,2.3765977646554632,0.7647058823529411,0.7058823529411765,0.6470588235294118,0.4117647058823529,0.0,0.0
<=10,D+1,2024-02,nanjing_2,424.0,18.0,1.8868265606295678,2.299663340449852,2.321545967790211,2.3827984121236714,2.3981115232070365,0.7222222222222222,0.7222222222222222,0.5555555555555556,0.2777777777777778,0.0,0.0
<=10,D+1,2024-02,nantong_1,433.0,32.0,0.9679490735600308,2.3140657373921436,2.340659049790015,2.442388558868413,2.486870806632713,0.5,0.4375,0.375,0.1875,0.0,0.0
<=10,D+1,2024-02,nantong_2,435.0,20.0,0.7846625698666597,2.843816811054342,2.9705198710933085,3.2758917446153806,3.3522347129958994,0.45,0.4,0.25,0.25,0.05,0.0
<=10,D+1,2024-02,suqian_1,427.0,20.0,1.7164554184244682,2.344274724776337,2.361604783515339,2.473362143115673,2.5013014830157565,0.7,0.6,0.55,0.3,0.0,0.0
<=10,D+1,2024-02,suzhou_1,433.0,30.0,0.6725903485221004,2.5466045945060385,2.550382715464596,2.5751253196306974,2.5850877081438908,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.3333333333333333,0.0,0.0
<=10,D+1,2024-02,taizhou_1,429.0,20.0,1.8950131771514656,2.432733741421244,2.466141367958718,2.5213942549341986,2.535207476678069,0.7,0.7,0.7,0.45,0.0,0.0
<=10,D+1,2024-02,taizhou_2,433.0,29.0,1.490850834562954,2.382985946341948,2.406711855184161,2.459449760780146,2.4741307362079934,0.5862068965517241,0.5517241379310345,0.4827586206896552,0.27586206896551724,0.0,0.0
<=10,D+1,2024-02,wuxi_1,428.0,20.0,1.8858679921285186,2.7271736513835143,2.7302760661838414,2.7514819679257663,2.7567834433612477,0.55,0.55,0.55,0.5,0.0,0.0
<=10,D+1,2024-02,xuzhou_1,431.0,25.0,0.8020405398324383,2.251205759999332,2.2860604970339717,2.328755179215906,2.341716129820315,0.44,0.4,0.36,0.28,0.0,0.0
<=10,D+1,2024-02,xuzhou_2,429.0,23.0,1.1090948626667454,2.301554992729566,2.3702436567319647,2.4766230223260415,2.5048316937546664,0.5217391304347826,0.4782608695652174,0.4782608695652174,0.17391304347826086,0.0,0.0
